Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min,Distance
3,MONTPELLIER,PARIS LYON,206.835,273.0,0,19,18.789,1.527,39.0,36.744,4.689,0.333,0.359,0.077,0.231,0.0,0.0,39.0,15.0,5.0,736.726
3,NICE VILLE,PARIS LYON,338.642,164.0,2,12,14.25,1.259,29.0,34.966,6.395,0.241,0.207,0.138,0.103,0.207,0.103,29.0,16.0,2.0,972.389
3,MARSEILLE ST CHARLES,LILLE,298.211,214.0,1,12,24.917,1.779,31.0,37.0,6.906,0.241,0.414,0.172,0.138,0.034,0.0,31.0,12.0,4.0,979.711
3,TOULOUSE MATABIAU,PARIS MONTPARNASSE,337.497,181.0,0,4,22.0,0.63,17.0,43.294,5.691,0.312,0.312,0.125,0.188,0.062,0.0,17.0,6.0,2.0,974.777
4,LILLE,LYON PART DIEU,193.896,269.0,0,26,15.077,1.937,23.0,45.478,5.297,0.304,0.261,0.174,0.217,0.043,0.0,23.0,11.0,5.0,645.118
4,LYON PART DIEU,MONTPELLIER,110.992,360.0,0,80,17.65,4.811,80.0,34.162,10.369,0.247,0.325,0.13,0.104,0.104,0.091,57.0,28.0,11.0,314.115
4,TOULOUSE MATABIAU,PARIS MONTPARNASSE,336.488,170.0,0,3,24.333,0.541,14.0,31.0,3.894,0.214,0.214,0.357,0.0,0.214,0.0,14.0,7.0,1.0,974.777
4,STRASBOURG,NANTES,317.564,55.0,0,0,0.0,0.018,1.0,23.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,851.094
4,LILLE,PARIS NORD,67.641,580.0,1,41,15.293,1.553,50.0,18.14,-1.029,0.24,0.32,0.06,0.16,0.2,0.02,15.0,7.0,4.0,225.294
4,STRASBOURG,PARIS EST,141.612,465.0,0,88,12.432,2.802,70.0,21.829,4.385,0.232,0.188,0.449,0.058,0.058,0.014,42.0,13.0,1.0,449.775
4,LYON PART DIEU,PARIS LYON,120.937,634.0,0,65,13.523,2.148,57.0,29.053,2.74,0.364,0.291,0.127,0.073,0.109,0.036,36.0,15.0,6.0,427.676
4,LILLE,MARSEILLE ST CHARLES,301.783,207.0,0,17,11.529,1.464,42.0,39.881,11.937,0.268,0.195,0.146,0.22,0.122,0.049,42.0,14.0,6.0,966.167
4,LYON PART DIEU,RENNES,261.371,85.0,0,57,12.982,9.706,17.0,37.353,9.576,0.4,0.333,0.0,0.2,0.067,0.0,17.0,8.0,3.0,1009.411
4,MONTPELLIER,LYON PART DIEU,109.75,324.0,0,20,29.15,1.975,60.0,25.0,7.796,0.22,0.61,0.051,0.051,0.068,0.0,35.0,7.0,3.0,314.115
4,NICE VILLE,PARIS LYON,338.076,213.0,2,14,15.429,1.436,66.0,36.288,14.123,0.273,0.379,0.167,0.106,0.03,0.045,66.0,26.0,8.0,972.389
4,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.726,663.0,2,103,17.796,3.537,47.0,41.915,3.67,0.372,0.256,0.256,0.047,0.07,0.0,47.0,24.0,8.0,560.221
4,MONTPELLIER,PARIS LYON,205.23,348.0,4,36,20.611,2.491,52.0,34.5,6.724,0.231,0.404,0.135,0.212,0.019,0.0,52.0,19.0,7.0,736.726
4,LYON PART DIEU,LILLE,189.897,273.0,0,189,14.757,10.905,89.0,25.73,10.432,0.205,0.432,0.102,0.091,0.136,0.034,75.0,22.0,4.0,645.118
4,LYON PART DIEU,MARSEILLE ST CHARLES,102.784,590.0,1,127,20.047,5.195,123.0,28.854,7.796,0.156,0.287,0.221,0.18,0.098,0.057,83.0,32.0,10.0,321.156
4,REIMS,PARIS EST,46.848,204.0,0,3,6.333,0.206,8.0,13.0,-0.647,0.571,0.286,0.143,0.0,0.0,0.0,2.0,1.0,0.0,146.006
4,MARSEILLE ST CHARLES,LILLE,297.732,213.0,0,14,18.714,1.61,66.0,26.955,11.39,0.215,0.4,0.123,0.077,0.154,0.031,66.0,19.0,2.0,979.711
4,MARSEILLE ST CHARLES,LYON PART DIEU,101.421,561.0,2,64,20.281,2.676,152.0,22.98,9.621,0.14,0.473,0.14,0.093,0.113,0.04,83.0,23.0,7.0,321.497
4,MARSEILLE ST CHARLES,PARIS LYON,198.273,437.0,0,35,18.514,1.689,48.0,41.125,5.872,0.354,0.25,0.042,0.125,0.104,0.125,48.0,22.0,5.0,748.745
5,STRASBOURG,PARIS EST,141.741,452.0,0,58,13.776,2.305,29.0,21.483,1.728,0.172,0.069,0.69,0.034,0.0,0.034,15.0,5.0,1.0,449.775
5,MARSEILLE ST CHARLES,PARIS LYON,198.292,435.0,0,27,16.148,1.264,50.0,42.44,5.993,0.354,0.208,0.167,0.25,0.0,0.021,50.0,20.0,9.0,748.745
5,LYON PART DIEU,MARSEILLE ST CHARLES,102.365,629.0,1,112,20.607,4.484,131.0,29.458,8.118,0.256,0.224,0.264,0.144,0.04,0.072,91.0,40.0,16.0,321.156
5,LYON PART DIEU,LILLE,188.886,281.0,1,199,17.146,12.832,83.0,33.639,12.2,0.192,0.321,0.115,0.179,0.064,0.128,68.0,24.0,7.0,645.118
5,LILLE,PARIS NORD,67.439,576.0,0,29,17.034,1.266,37.0,22.459,0.432,0.2,0.3,0.1,0.2,0.1,0.1,14.0,10.0,3.0,225.294
5,NICE VILLE,PARIS LYON,339.846,217.0,0,22,16.182,2.157,44.0,37.205,9.323,0.214,0.214,0.262,0.19,0.048,0.071,44.0,14.0,6.0,972.389
5,LILLE,LYON PART DIEU,193.298,275.0,0,25,20.2,2.575,24.0,37.5,3.898,0.13,0.217,0.304,0.174,0.0,0.174,23.0,15.0,2.0,645.118
5,LYON PART DIEU,MONTPELLIER,110.209,353.0,1,60,22.65,4.747,79.0,32.329,9.602,0.378,0.23,0.135,0.081,0.054,0.122,54.0,34.0,10.0,314.115
5,MARSEILLE ST CHARLES,LILLE,296.505,219.0,1,14,15.0,1.353,58.0,34.207,12.367,0.236,0.291,0.109,0.164,0.073,0.127,58.0,19.0,4.0,979.711
5,LYON PART DIEU,PARIS LYON,120.757,620.0,0,73,14.055,2.519,66.0,26.47,2.824,0.242,0.303,0.091,0.182,0.061,0.121,43.0,18.0,4.0,427.676
5,MONTPELLIER,PARIS LYON,205.448,349.0,1,33,26.576,2.977,52.0,41.981,7.592,0.28,0.28,0.16,0.2,0.06,0.02,52.0,30.0,9.0,736.726
5,LYON PART DIEU,RENNES,261.552,87.0,0,49,13.633,8.874,21.0,32.19,10.0,0.3,0.05,0.15,0.4,0.05,0.05,21.0,5.0,3.0,1009.411
5,MARSEILLE ST CHARLES,LYON PART DIEU,101.4,579.0,0,46,15.261,1.585,155.0,26.665,10.613,0.196,0.372,0.142,0.081,0.095,0.115,87.0,24.0,10.0,321.497
5,REIMS,PARIS EST,47.312,202.0,0,3,13.667,0.361,7.0,12.286,-0.985,0.2,0.4,0.0,0.2,0.0,0.2,1.0,1.0,0.0,146.006
5,MONTPELLIER,LYON PART DIEU,109.785,331.0,1,27,16.074,1.567,74.0,24.541,8.321,0.246,0.449,0.116,0.087,0.029,0.072,47.0,18.0,2.0,314.115
5,STRASBOURG,NANTES,317.571,56.0,0,1,15.0,0.464,1.0,30.0,2.964,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,851.094
5,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.434,663.0,0,121,14.14,3.285,39.0,38.359,1.941,0.474,0.237,0.105,0.105,0.053,0.026,39.0,21.0,7.0,560.221
5,TOULOUSE MATABIAU,PARIS MONTPARNASSE,338.608,185.0,0,4,11.0,0.378,10.0,39.9,2.108,0.333,0.444,0.0,0.222,0.0,0.0,10.0,5.0,2.0,974.777
5,LILLE,MARSEILLE ST CHARLES,300.601,213.0,0,14,23.071,2.225,38.0,40.474,10.977,0.297,0.135,0.27,0.162,0.0,0.135,38.0,19.0,9.0,966.167
6,LILLE,LYON PART DIEU,193.723,268.0,1,23,18.522,2.172,33.0,38.121,6.592,0.182,0.152,0.333,0.242,0.061,0.03,31.0,14.0,6.0,645.118
6,REIMS,PARIS EST,48.966,205.0,0,4,11.5,0.585,10.0,21.5,-0.195,0.2,0.6,0.1,0.1,0.0,0.0,3.0,1.0,1.0,146.006
6,MARSEILLE ST CHARLES,PARIS LYON,197.91,435.0,0,37,12.892,1.363,46.0,28.5,4.322,0.283,0.261,0.109,0.261,0.043,0.043,46.0,14.0,0.0,748.745
6,MARSEILLE ST CHARLES,LYON PART DIEU,101.286,556.0,1,46,18.0,1.914,182.0,21.225,10.229,0.148,0.5,0.071,0.099,0.082,0.099,92.0,28.0,6.0,321.497
6,MONTPELLIER,LYON PART DIEU,109.911,325.0,4,39,46.795,5.928,83.0,37.458,12.561,0.169,0.566,0.145,0.06,0.036,0.024,56.0,22.0,13.0,314.115
