Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,GENEVE,PARIS LYON,173.051612903,155,0,21,18.1904761905,3.50967741935,16,43.125,3.56129032258,0.00645161290322999,0.0322580645161,0.0322580645161,0.00645161290322999,0.0193548387097,0.00645161290322999,13,7,3
2015,1,PARIS LYON,MARSEILLE ST CHARLES,196.464871194,430,3,16,14.5625,0.711943793910999,29,41.9310344828,4.30444964871,0.464285714285999,0.142857142857,0.0714285714286,0.285714285714,0.0357142857143,0,29,14,5
2015,1,STUTTGART,PARIS EST,147.607142857,56,0,17,12.5294117647,5.28571428571,11,20.8181818182,4.92857142857,0.0178571428570999,0.0535714285714,0.107142857143,0.0178571428570999,0,0,6,2,0
2015,1,PARIS EST,STUTTGART,146.134259259,108,0,6,25,1.55555555555999,11,33.1818181818,4.24074074074,,,,,,,8,4,3
2015,1,PARIS LYON,BELLEGARDE (AIN),162.357988166,171,2,9,18.8888888889,1.16568047337,20,37.1,6.05917159763,0.105263157895,0.210526315789,0.105263157895,0.421052631579,0.0526315789474,0.105263157895,12,6,4
2015,1,AVIGNON TGV,PARIS LYON,160.530360531,530,3,89,22.393258427,4.56546489564,64,41.25,4.35673624288,0.333333333333,0.122807017544,0.210526315789,0.175438596491,0.0526315789474,0.105263157895,49,29,11
2015,1,FRANCFORT,PARIS EST,99.9166666667,78,0,28,14.7857142857,6.29487179487,28,25.7857142857,10.4487179487,0,0.392857142857,0.428571428571,0.107142857143,0,0.0714285714286,23,6,2
2015,1,STRASBOURG,NANTES,318.454545455,33,0,1,8,0.30303030303,3,30.6666666667,3.84848484848,0.333333333333,0.333333333333,0,0,0,0.333333333333,3,1,0
2015,1,ZURICH,PARIS LYON,140.977941176,136,0,12,24.6666666667,2.83823529412,11,34.3636363636,2.02941176471,0.00735294117647,0.0147058823529,0.0441176470588,0.00735294117647,0.00735294117647,0,7,4,2
2015,1,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,79.9066985646,209,0,25,11.72,2.00956937799,25,13.84,0.904306220096,0.260869565217,0.130434782609,0.217391304348,0.130434782609,0.217391304348,0.0434782608696,8,1,0
2015,1,BREST,PARIS MONTPARNASSE,273.759433962,212,0,3,33,0.523584905659999,12,33.1666666667,1.72641509434,0.583333333333,0.166666666667,0.166666666667,0.0833333333333,0,0,12,4,2
2015,1,PARIS NORD,ARRAS,50.6312292359,301,0,14,19.5714285714,1.13953488372,30,22.3666666667,2.52491694352,0.259259259259,0.296296296296,0.111111111111,0.037037037037,0.185185185185,0.111111111111,10,6,1
2015,1,MARSEILLE ST CHARLES,PARIS LYON,196.985365854,411,1,15,18.2,0.848780487804999,30,37.6666666667,2.17073170732,0.37037037037,0.111111111111,0.111111111111,0.222222222222,0.0740740740741,0.111111111111,30,17,2
2015,1,MARSEILLE ST CHARLES,LILLE,295.19047619,210,0,25,22.56,3.0380952381,52,36.1538461538,10.9619047619,0.28,0.14,0.12,0.12,0.16,0.18,52,19,7
2015,1,ARRAS,PARIS NORD,55.6055900621,322,0,23,13.8695652174,1.56211180124,51,14.431372549,1.42546583851,0.0625,0.520833333333,0.25,0.104166666667,0.0625,0,12,4,1
2015,1,AIX EN PROVENCE TGV,PARIS LYON,182.373255814,432,2,34,26.0588235294,2.86511627907,37,44.1081081081,3.06976744186,0.3125,0.15625,0.09375,0.21875,0.125,0.09375,35,19,4
2015,1,PARIS LYON,DIJON VILLE,96.1528089887999,445,0,33,22.1212121212,1.76853932584,26,31.6538461538,1.99550561797999,0.230769230769,0.192307692308,0.269230769231,0.192307692308,0.115384615385,0,17,9,4
2015,1,PARIS LYON,NICE VILLE,337.548022599,178,1,8,15.625,0.909604519774,26,44.3076923077,8.46892655367,0.434782608696,0.217391304348,0.0869565217391,0.130434782609,0.0434782608696,0.0869565217391,26,12,4
